Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2016-004556;"Nieuwe Ebbingestraat";53;;"A KM 5 - 2 ET VZ";9712NE;GRONINGEN;"Nieuwe Ebbingestraat 53 A KM 5 - 2 ET VZ, 9712NE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";13-03-17;Onzelfstandig;;;;;1.540,00;1.297,11;;;;;;;Huurder
ZKN-2016-004552;Ruitersveldweg;31;E;;8091HR;WEZEP;"Ruitersveldweg 31 E, 8091HR WEZEP";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";01-03-17;Onzelfstandig;;;;;2.050,66;1.667,05;;;;;;;Huurder
ZKN-2016-004539;Bezettingslaan;54;;"KM AT LKS";9728EJ;GRONINGEN;"Bezettingslaan 54 KM AT LKS, 9728EJ GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Onzelfstandig;;;;;1.560,00;656,29;;;;;;;Huurder
ZKN-2016-004500;Coendersweg;4;;"A KM3";9722GE;GRONINGEN;"Coendersweg 4 A KM3, 9722GE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";03-03-17;Onzelfstandig;;;;;1.012,83;449,04;;;;;;;Huurder
ZKN-2016-004492;Coendersweg;4;;"A KM 4";9722GE;GRONINGEN;"Coendersweg 4 A KM 4, 9722GE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";03-03-17;Onzelfstandig;;;;;975;337,11;;;;;;;Huurder
ZKN-2016-004482;Marconistraat;96;;7;2562JG;'S-GRAVENHAGE;"Marconistraat 96 7, 2562JG 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";16-03-17;Onzelfstandig;;;;;1.100,00;481,89;;;;;;;Huurder
ZKN-2016-004457;Coendersweg;4;;"1A KM 5";9722GE;GRONINGEN;"Coendersweg 4 1A KM 5, 9722GE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";03-03-17;Onzelfstandig;;;;;650;261,68;;;;;;;Huurder
ZKN-2016-004452;Watertorenweg;478;;;3063HA;ROTTERDAM;"Watertorenweg 478, 3063HA ROTTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";14-03-17;Zelfstandig;266,54;266,54;;;;;;;;;;;Huurder
ZKN-2016-004438;Kloosterhof;14;;;4285AX;WOUDRICHEM;"Kloosterhof 14, 4285AX WOUDRICHEM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;585,66;585,66;;;;;;;;;;;Huurder
ZKN-2016-004435;Teldershof;18;;;1067ML;AMSTERDAM;"Teldershof 18, 1067ML AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;;397,6;;;;;;;Huurder
ZKN-2016-004430;Teldershof;18;;;1067ML;AMSTERDAM;"Teldershof 18, 1067ML AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;397,73;390,01;;;;;;;Huurder
ZKN-2016-004415;"Verlengde Hereweg";61;;"A KM 5 -2 ET LKS AT";9721AG;GRONINGEN;"Verlengde Hereweg 61 A KM 5 -2 ET LKS AT, 9721AG GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";20-03-17;Onzelfstandig;;;;;770;312,45;;;;;;;Huurder
ZKN-2016-004383;Koninginnegracht;40;;A;2514AD;'S-GRAVENHAGE;"Koninginnegracht 40 A, 2514AD 'S-GRAVENHAGE";;"4.3 UHW - melding herstel van gebreken";"Gebreken deels verholpen of niet verholpen";"De wederpartij wordt in het gelijk gesteld";16-03-17;Zelfstandig;292,71;461,12;;;;;;;;;;;Verhuurder
ZKN-2016-004369;Poeldijkstraat;249;;;1059VL;AMSTERDAM;"Poeldijkstraat 249, 1059VL AMSTERDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";01-03-17;Zelfstandig;527,67;475,01;;;;;;;;;;;Huurder
ZKN-2016-004321;"Nieuwe Ebbingestraat";53;;"A KM 4 - 2 ET VZ";9712NE;GRONINGEN;"Nieuwe Ebbingestraat 53 A KM 4 - 2 ET VZ, 9712NE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";13-03-17;Onzelfstandig;;;;;1.050,00;826,78;;;;;;;Huurder
ZKN-2016-004308;Esperantolaan;34;;;6824LW;ARNHEM;"Esperantolaan 34, 6824LW ARNHEM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";09-03-17;Zelfstandig;;;;;359,51;299,04;;;;;;;Huurder
ZKN-2016-004250;Carnotstraat;93;;;6533DZ;NIJMEGEN;"Carnotstraat 93, 6533DZ NIJMEGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";09-03-17;Zelfstandig;;;;;1.418,80;1.418,80;;;;;;;Huurder
ZKN-2016-004223;Teldershof;109;;;1067ML;AMSTERDAM;"Teldershof 109, 1067ML AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;;310,59;;;;;;;Huurder
ZKN-2016-004220;Teldershof;25;;;1067ML;AMSTERDAM;"Teldershof 25, 1067ML AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;;397,6;;;;;;;Huurder
ZKN-2016-004213;Teldershof;25;;;1067ML;AMSTERDAM;"Teldershof 25, 1067ML AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;397,73;390,01;;;;;;;Huurder
ZKN-2016-004196;Treubstraat;34;;;2221AM;"KATWIJK ZH";"Treubstraat 34, 2221AM KATWIJK ZH";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;3.364,06;3.364,06;;;;;;;Huurder
ZKN-2016-004169;Meierijlaan;8;;;5171ZP;KAATSHEUVEL;"Meierijlaan 8, 5171ZP KAATSHEUVEL";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";08-03-17;Zelfstandig;687;687;;;;;;;;;;;Huurder
ZKN-2016-004151;Dijkstraat;22;;A;9724KX;GRONINGEN;"Dijkstraat 22 A, 9724KX GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Zelfstandig;;;;;425;384,25;;;;;;;Huurder
ZKN-2016-004128;Meijerijstraat;30;;;5461HJ;VEGHEL;"Meijerijstraat 30, 5461HJ VEGHEL";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-03-17;Zelfstandig;;;;;1.377,68;1.143,18;;;;;;;Huurder
ZKN-2016-004113;Meijerijstraat;30;;;5461HJ;VEGHEL;"Meijerijstraat 30, 5461HJ VEGHEL";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";17-03-17;Zelfstandig;;;;;1.458,36;1.458,36;;;;;;;Huurder
ZKN-2016-004109;Boterdiep;109;;"A KM 2";9712LM;GRONINGEN;"Boterdiep 109 A KM 2, 9712LM GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";21-03-17;Onzelfstandig;;;;;250;5;;;;;;;Huurder
ZKN-2016-004043;"Nieuwe Ebbingestraat";53;;"A KM 2 ET 1 AT LKS";9712NE;GRONINGEN;"Nieuwe Ebbingestraat 53 A KM 2 ET 1 AT LKS, 9712NE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";13-03-17;Onzelfstandig;;;;;1.800,00;1.551,78;;;;;;;Huurder
ZKN-2016-004030;Rembrandtstraat;18;B;;3202ER;SPIJKENISSE;"Rembrandtstraat 18 B, 3202ER SPIJKENISSE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";16-03-17;Zelfstandig;;;;;1.108,08;465,58;;;;;;;Huurder
ZKN-2016-004024;Ruysdaelstraat;34;;3;1071XD;AMSTERDAM;"Ruysdaelstraat 34 3, 1071XD AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";06-03-17;Zelfstandig;;;;;3.116,48;2.684,90;;;;;;;Huurder
ZKN-2016-003978;Boterdiep;109;;"A KM 1";9712LM;GRONINGEN;"Boterdiep 109 A KM 1, 9712LM GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";21-03-17;Onzelfstandig;;;;;300;6;;;;;;;Huurder
ZKN-2016-003977;Mathenesserlaan;381;;"KM 6";3023GD;ROTTERDAM;"Mathenesserlaan 381 KM 6, 3023GD ROTTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";01-03-17;Onzelfstandig;;;;;3.683,05;1.205,13;;;;;;;Huurder
ZKN-2016-003976;Berkelstraat;6;;"A KM 2 ET AT";9725GX;GRONINGEN;"Berkelstraat 6 A KM 2 ET AT, 9725GX GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";21-03-17;Onzelfstandig;;;;;1.800,00;329,75;;;;;;;Huurder
ZKN-2016-003975;Berkelstraat;6;;"A KM 2 ET AT";9725GX;GRONINGEN;"Berkelstraat 6 A KM 2 ET AT, 9725GX GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";21-03-17;Onzelfstandig;;;;;1.800,00;317,1;;;;;;;Huurder
ZKN-2016-003939;Strijpsestraat;153;;B;5616GN;EINDHOVEN;"Strijpsestraat 153 B, 5616GN EINDHOVEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";29-03-17;Zelfstandig;;;;;498,85;166,42;;;;;;;Huurder
ZKN-2016-003936;Steentilkade;6;;"KM 3";9713GB;GRONINGEN;"Steentilkade 6 KM 3, 9713GB GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Onzelfstandig;;;;;1.620,00;539,11;;;;;;;Huurder
ZKN-2016-003934;Boermastreek;13;;;9574PC;EXLOERVEEN;"Boermastreek 13, 9574PC EXLOERVEEN";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";20-03-17;Zelfstandig;550;;;;;;;;;;330;;Huurder
ZKN-2016-003868;Coendersweg;4;;"A KM 1";9722GE;GRONINGEN;"Coendersweg 4 A KM 1, 9722GE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";03-03-17;Onzelfstandig;;;;;660;298,95;;;;;;;Huurder
ZKN-2016-003726;Aweg;6;;"5 APP M";9718CS;GRONINGEN;"Aweg 6 5 APP M, 9718CS GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Zelfstandig;;;;;1.800,00;1.001,61;;;;;;;Huurder
ZKN-2016-003679;Molenvliet;442;;;3076CM;ROTTERDAM;"Molenvliet 442, 3076CM ROTTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";16-03-17;Zelfstandig;;;;;1.647,56;1.200,00;;;;;;;Huurder
ZKN-2016-003394;"Rinze Koopmansstraat";38;;;3067AN;ROTTERDAM;"Rinze Koopmansstraat 38, 3067AN ROTTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Zelfstandig;;;;;630;842,26;;;;;;;Huurder
ZKN-2016-003388;"Rinze Koopmansstraat";26;;;3067AN;ROTTERDAM;"Rinze Koopmansstraat 26, 3067AN ROTTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Zelfstandig;;;;;475;287,3;;;;;;;Huurder
ZKN-2016-003349;Teldershof;19;;;1067ML;AMSTERDAM;"Teldershof 19, 1067ML AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";10-03-17;Zelfstandig;;;;;404,57;376,1;;;;;;;Huurder
ZKN-2016-003300;Montgomerylaan;92;;;2625PR;DELFT;"Montgomerylaan 92, 2625PR DELFT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";01-03-17;Zelfstandig;;;;;526,19;425,5;;;;;;;Huurder
ZKN-2016-003206;Meijerijstraat;28;;;5461HJ;VEGHEL;"Meijerijstraat 28, 5461HJ VEGHEL";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";17-03-17;Zelfstandig;;;;;2.965,01;2.965,01;;;;;;;Huurder
ZKN-2016-003205;Meijerijstraat;28;;;5461HJ;VEGHEL;"Meijerijstraat 28, 5461HJ VEGHEL";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";17-03-17;Zelfstandig;;;;;5.541,44;5.541,44;;;;;;;Huurder
ZKN-2016-003199;Meijerijstraat;28;;;5461HJ;VEGHEL;"Meijerijstraat 28, 5461HJ VEGHEL";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";17-03-17;Zelfstandig;;;;;1.959,93;1.959,93;;;;;;;Huurder
ZKN-2016-003169;Oostzaanstraat;298;;;1013WS;AMSTERDAM;"Oostzaanstraat 298, 1013WS AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;;;;;72,13;72,13;;;;;;;Huurder
ZKN-2016-003166;Bezettingslaan;54;;"KM VZ";9728EJ;GRONINGEN;"Bezettingslaan 54 KM VZ, 9728EJ GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Onzelfstandig;;;;;1.497,06;602,36;;;;;;;Huurder
ZKN-2016-003148;Fideliolaan;250;;;1183PT;AMSTELVEEN;"Fideliolaan 250, 1183PT AMSTELVEEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";21-03-17;Zelfstandig;;;;;2.074,83;1.121,53;;;;;;;Huurder
ZKN-2016-003145;Kaaplandstraat;33;;"KM 2L 1ET";6543PB;NIJMEGEN;"Kaaplandstraat 33 KM 2L 1ET, 6543PB NIJMEGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";01-03-17;Onzelfstandig;;;;;401,3;316,82;;;;;;;Huurder
ZKN-2016-003124;"Roelof Hartstraat";26;;2;1071VJ;AMSTERDAM;"Roelof Hartstraat 26 2, 1071VJ AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;368,55;;;;;;;;;;;;Huurder
ZKN-2016-003044;Wilgenlaan;79;;;6921HG;DUIVEN;"Wilgenlaan 79, 6921HG DUIVEN";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;;;;;436,28;423,38;;;;;;;Huurder
ZKN-2016-003035;"Graan voor Visch";19467;;;2132WJ;HOOFDDORP;"Graan voor Visch 19467, 2132WJ HOOFDDORP";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;;;;;3.720,42;3.720,42;;;;;;;Huurder
ZKN-2016-003034;"Graan voor Visch";19467;;;2132WJ;HOOFDDORP;"Graan voor Visch 19467, 2132WJ HOOFDDORP";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;;;;;3.834,44;3.834,44;;;;;;;Huurder
ZKN-2016-002992;Obiplein;93;;;1094RB;AMSTERDAM;"Obiplein 93, 1094RB AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-03-17;Zelfstandig;;;;;180,24;7,69;;;;;;;Huurder
ZKN-2016-002984;Schiebroekstraat;217;;;2729LV;ZOETERMEER;"Schiebroekstraat 217, 2729LV ZOETERMEER";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";09-03-17;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2016-002815;"De Hooghlaan";2;;A11;3723GS;BILTHOVEN;"De Hooghlaan 2 A11, 3723GS BILTHOVEN";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";16-03-17;Zelfstandig;;;;;582,55;582,55;;;;;;;Huurder
ZKN-2016-002807;Damsterdiep;69;;"KM A";9711SJ;GRONINGEN;"Damsterdiep 69 KM A, 9711SJ GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";08-03-17;Onzelfstandig;;;;;250;130,88;;;;;;;Huurder
ZKN-2016-002761;"Stille Putten";84;;;2612KV;DELFT;"Stille Putten 84, 2612KV DELFT";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";22-03-17;Zelfstandig;602,57;;;;;;;;;;241,03;;Huurder
ZKN-2016-002749;Nachtwachtlaan;180;;;1058EG;AMSTERDAM;"Nachtwachtlaan 180, 1058EG AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";13-03-17;Zelfstandig;;;;;6.563,90;6.563,90;;;;;;;Huurder
ZKN-2016-002744;Nachtwachtlaan;180;;;1058EG;AMSTERDAM;"Nachtwachtlaan 180, 1058EG AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";13-03-17;Zelfstandig;;;;;6.563,90;6.563,90;;;;;;;Huurder
ZKN-2016-002622;Mathenesserlaan;381;;"KM 7";3023GD;ROTTERDAM;"Mathenesserlaan 381 KM 7, 3023GD ROTTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";01-03-17;Onzelfstandig;;;;;546,86;366,13;;;;;;;Huurder
ZKN-2016-002569;Laakkade;245;;;2521XP;'S-GRAVENHAGE;"Laakkade 245, 2521XP 'S-GRAVENHAGE";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";01-03-17;Zelfstandig;697;451,6;;;;;;;;;;;Huurder
ZKN-2016-002525;Energiestraat;31;;;2525KA;'S-GRAVENHAGE;"Energiestraat 31, 2525KA 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";16-03-17;Zelfstandig;199;;;;;;;;;;139,3;;Huurder
ZKN-2016-002452;Dallashof;37;;;2548JE;'S-GRAVENHAGE;"Dallashof 37, 2548JE 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";16-03-17;Zelfstandig;704,91;704,91;;;;;;;;;;;Huurder
ZKN-2016-002422;Bussumerstraat;79;;;1211BJ;HILVERSUM;"Bussumerstraat 79, 1211BJ HILVERSUM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";09-03-17;Zelfstandig;;;;;1.611,32;1.120,27;;;;;;;Huurder
ZKN-2016-002326;Debijeweg;288;;;3069VG;ROTTERDAM;"Debijeweg 288, 3069VG ROTTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";20-03-17;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2016-002325;Debijeweg;288;;;3069VG;ROTTERDAM;"Debijeweg 288, 3069VG ROTTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";20-03-17;Zelfstandig;;;;;1.487,11;1.487,11;;;;;;;Huurder
ZKN-2016-002324;Briandlaan;144;;;2037XR;HAARLEM;"Briandlaan 144, 2037XR HAARLEM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";08-03-17;Zelfstandig;370,5;;;;;;;;;;222,3;;Huurder
ZKN-2016-002296;Nocturnestraat;80;;;2553TL;'S-GRAVENHAGE;"Nocturnestraat 80, 2553TL 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";01-03-17;Zelfstandig;;;;;2.098,41;2.098,41;;;;;;;Huurder
ZKN-2016-002107;Mathenesserlaan;381;;"KM 6";3023GD;ROTTERDAM;"Mathenesserlaan 381 KM 6, 3023GD ROTTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";01-03-17;Onzelfstandig;;;;;654,34;367,1;;;;;;;Huurder
ZKN-2016-001765;"Willem Kloosstraat";27;;;4207RG;GORINCHEM;"Willem Kloosstraat 27, 4207RG GORINCHEM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";14-03-17;Zelfstandig;673,28;673,28;;;;;;;;;;;Huurder
ZKN-2016-001665;"Sinjeur Semeynsstraat";77;;2;1061GK;AMSTERDAM;"Sinjeur Semeynsstraat 77 2, 1061GK AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";03-03-17;Zelfstandig;360,36;216,22;;;;;;;;;216,22;;Huurder
ZKN-2016-001245;Ericalaan;99;;;2555LE;'S-GRAVENHAGE;"Ericalaan 99, 2555LE 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";03-03-17;Zelfstandig;;;;;1.602,88;1.538,28;;;;;;;Huurder
ZKN-2016-000881;Ericalaan;99;;A;2555LE;'S-GRAVENHAGE;"Ericalaan 99 A, 2555LE 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";03-03-17;Zelfstandig;;;;;2.497,29;2.504,59;;;;;;;Huurder
ZKN-2016-000878;Ericalaan;99;;A;2555LE;'S-GRAVENHAGE;"Ericalaan 99 A, 2555LE 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";03-03-17;Zelfstandig;;;;;1.294,04;1.005,55;;;;;;;Huurder
ZKN-2016-000473;"de Hild";32;;;3471EZ;KAMERIK;"de Hild 32, 3471EZ KAMERIK";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";16-03-17;Zelfstandig;645,15;;;;;;;;;;645,15;;Huurder
ZKN-2016-000063;"Sint Walburgstraat";6;D;;9712HX;GRONINGEN;"Sint Walburgstraat 6 D, 9712HX GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";03-03-17;Zelfstandig;;;;;1.805,53;1.805,51;;;;;;;Huurder
ZKN-2015-008992;Parnassusweg;28;;2;1076AR;AMSTERDAM;"Parnassusweg 28 2, 1076AR AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";15-03-17;Zelfstandig;;;;;2.668,18;2.668,18;;;;;;;Huurder
ZKN-2015-008535;Ericalaan;99;;;2555LE;'S-GRAVENHAGE;"Ericalaan 99, 2555LE 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";08-03-17;Zelfstandig;;;;;815,61;610,27;;;;;;;Huurder
ZKN-2012-002695;"Klein Heiligland";64;;C;2011EJ;HAARLEM;"Klein Heiligland 64 C, 2011EJ HAARLEM";;"261 BW - hoogte voorschot servicekosten";"Geen inhoudelijke uitspraak";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";23-03-17;Zelfstandig;;;0;0;;;;;;;;;Huurder
ZKN-2012-002694;"Klein Heiligland";64;;C;2011EJ;HAARLEM;"Klein Heiligland 64 C, 2011EJ HAARLEM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-03-17;Zelfstandig;;;;;0;180,84;;;;;;;Huurder
ZKN-2012-002692;"Klein Heiligland";64;;C;2011EJ;HAARLEM;"Klein Heiligland 64 C, 2011EJ HAARLEM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-03-17;Zelfstandig;;;;;0;188,2;;;;;;;Huurder
